# Omegam Omegad Omegab w0 wa h ns sigma8
372990.7120156680 23874.6652177806 -635600.8408646947 -24564.6696953659 -4885.4018417350 -27986.8616518019 149847.3362861981 -12429.8573956131
23874.6652186298 13949.3278264082 27481.8597662171 -5040.5846637301 -1700.1286744196 -50958.6962530257 9001.0818726612 5709.5798101488
-635600.8408337532 27481.8597707507 2143656.5396062098 -11859.1376728227 -3800.0603011353 -510235.4086561057 -275454.4558464637 32923.7245812039
-24564.6696968220 -5040.5846638192 -11859.1376678541 4994.6899312420 1041.7513932248 29842.9205451921 -8556.4843362533 2588.2333919138
-4885.4018419357 -1700.1286744244 -3800.0603002141 1041.7513932118 269.3312194658 7729.0472237897 -1727.7271368898 -189.0027331323
-27986.8616628152 -50958.6962538689 -510235.4086313491 29842.9205457767 7729.0472239486 338068.2288171845 5011.6153623869 -21893.6646776277
149847.3362864207 9001.0818723739 -275454.4558584088 -8556.4843357214 -1727.7271368173 5011.6153664224 64291.3639246029 -7547.5829872202
-12429.8573958162 5709.5798101168 32923.7245822516 2588.2333919112 -189.0027331306 -21893.6646778369 -7547.5829872827 24365.1609639259
