# Omegam Omegab w0 wa h ns sigma8 aIA etaIA betaIA
9.662640608236745e6	-2.891928008648065e6	-385689.3493597907	-74893.15973882892	876173.2535914064	1.595528847526927e6	6.758636458776085e6	-9543.15708394511	-9453.023857170747	13776.719072313434
-2.891928008648065e6	1.0793013148070064e6	105999.36818933552	20413.720308663862	-320583.12821942964	-589735.6020134229	-1.9646222894278031e6	3818.454226461317	4182.480239856579	-4509.235110503574
-385689.3493597907	105999.36818933552	16597.451292895126	3296.0285304931876	-31781.521734554924	-55886.14191858023	-274104.5099379504	372.7806693071283	395.56769711091033	-473.19182889970597
-74893.15973882892	20413.720308663862	3296.0285304931876	698.1180592588375	-6041.848247234644	-10293.498130581358	-54896.86395851087	45.848611842742145	48.08861345142444	-61.417415853995465
876173.2535914064	-320583.12821942964	-31781.521734554924	-6041.848247234644	97250.64443929843	183553.43064815446	592163.0885435106	-1138.7596978454544	-1221.3373233631573	1405.2138761857614
1.595528847526927e6	-589735.6020134229	-55886.14191858023	-10293.498130581358	183553.43064815446	359962.09173812886	1.0604444320136395e6	-2176.105904828312	-2299.3328622623903	2756.577108297145
6.758636458776085e6	-1.9646222894278031e6	-274104.5099379504	-54896.86395851087	592163.0885435106	1.0604444320136395e6	4.819982078192048e6	-5702.2777125480725	-5591.22622520761	8421.066185645537
-9543.15708394511	3818.454226461317	372.7806693071283	45.848611842742145	-1138.7596978454544	-2176.105904828312	-5702.2777125480725	91.54709685277781	122.16751312318043	-51.4516000720603
-9453.023857170747	4182.480239856579	395.56769711091033	48.08861345142444	-1221.3373233631573	-2299.3328622623903	-5591.22622520761	122.16751312318043	171.38978526488327	-48.736645732300396
13776.719072313434	-4509.235110503574	-473.19182889970597	-61.417415853995465	1405.2138761857614	2756.577108297145	8421.066185645537	-51.4516000720603	-48.736645732300396	77.72254337748686
