#Omegam Omegab w0 wa h ns sigma8 aIA etaIA betaIA b1 b2 b3 b4 b5 b6 b7 b8 b9 b10
-8.548615992966062622e+05 -2.546794719831864815e+06 1.175735257985174889e+06 1.594519337007229915e+05 7.680878031293934910e+05 1.526566548232106026e+06 6.028577799413811415e+06 1.008244628047616942e+02 6.262092913740669786e+01 -2.686425131637100208e+02 3.625102060270403977e+06 3.737714338902715244e+05 6.295622600979558229e+03 2.821281722464508221e+03 4.962251272215206086e+02 1.606903456775116865e+02 7.778861447077585467e+01 3.752658263596602239e+01 4.549045349360200774e+00 3.650497824408259095e+00
3.838375990375510883e+05 -2.187433571555236820e+06 1.039343742060838034e+06 1.779073699870602868e+05 6.012417470031549456e+05 9.202648001272327965e+05 5.389548116462449543e+06 -1.943175079592191068e+01 -2.266798407091603096e+01 3.155775949505947864e-01 3.737714338902714080e+05 2.044914403392208973e+06 3.608389181788404821e+05 9.712659919345209346e+03 2.472518066274143166e+03 4.000258539135173805e+02 3.732565719377301861e+01 1.491692470558568928e+01 2.386058208615728038e+00 1.428238691949849093e+00
6.003969484554044902e+05 -1.585245675424644956e+06 8.038488826455456438e+05 1.544213302139193111e+05 4.287672467605667189e+05 5.567119681934106629e+05 4.065822413264958188e+06 4.825432175276100821e+01 4.489441836882450332e+01 -4.259426561469503980e+01 6.295622600979556410e+03 3.608389181788404821e+05 1.173017280418379931e+06 3.446056801644713851e+05 8.927687606157205664e+03 2.029127614657656977e+03 3.355030276039075829e+02 3.228414626832760348e+01 7.032194632460054606e+00 4.912900522224961097e-01
7.147308541154722916e+05 -1.488993560170765035e+06 7.397734912578308722e+05 1.497638133376429032e+05 3.804482177243208862e+05 4.226679491759974044e+05 3.712436386633560993e+06 3.055909297850931949e+01 2.896766564162659918e+01 -4.622062675790998298e+01 2.821281722464508221e+03 9.712659919345207527e+03 3.446056801644716179e+05 9.567701483367728069e+05 3.049961164701192174e+05 1.117345819711484000e+04 1.987052679839852999e+03 2.670208710010646769e+02 1.996911592955724046e+01 4.825914293901433894e+00
7.418437432363274274e+05 -1.366817563599335961e+06 6.469121364148436114e+05 1.380941676391446090e+05 3.375604918519724743e+05 3.077337213263370795e+05 3.206222549572756980e+06 1.725047342504923975e+01 2.406822738174151866e+01 -2.132808853843264885e+01 4.962251272215204949e+02 2.472518066274140892e+03 8.927687606157205664e+03 3.049961164701192174e+05 7.550970379040807020e+05 2.685937244234096725e+05 1.044669832111025062e+04 1.731690555392530086e+03 1.438798399161086934e+02 1.031279606668086934e+01
7.536633123972225003e+05 -1.312611914693555096e+06 5.884829667189078173e+05 1.314026139465112938e+05 3.120302758662233246e+05 2.336803125894118857e+05 2.886593273435532115e+06 5.808901374546147878e+01 6.399204100121656325e+01 -7.519982533948935099e+01 1.606903456775114023e+02 4.000258539135174942e+02 2.029127614657656977e+03 1.117345819711484910e+04 2.685937244234096142e+05 6.548022826866303803e+05 2.337271796251274063e+05 1.068930501026473939e+04 1.009946452976711043e+03 6.462202951157792086e+01
7.226295289135084022e+05 -1.204345983831177931e+06 5.153839298243807280e+05 1.211705161232899991e+05 2.794795978584371042e+05 1.728041925311156956e+05 2.498764002392725088e+06 6.240765078816073697e+01 7.546055402818556956e+01 -7.380574332165605256e+01 7.778861447077584046e+01 3.732565719377296887e+01 3.355030276039075829e+02 1.987052679839853909e+03 1.044669832111025062e+04 2.337271796251274936e+05 5.502460612545763142e+05 2.000362766508797067e+05 5.167902395018241805e+03 3.571001083701149241e+02
7.832365776059672935e+05 -1.206293176887908950e+06 5.156279687167807715e+05 1.261657440033520979e+05 2.865738631205913844e+05 1.445806026599039033e+05 2.473721019818218891e+06 9.100954059489841086e+01 1.334442997009350051e+02 -2.733534049648338993e+01 3.752658263596600108e+01 1.491692470558571060e+01 3.228414626832761058e+01 2.670208710010647906e+02 1.731690555392530086e+03 1.068930501026473030e+04 2.000362766508797940e+05 6.125630588746594731e+05 1.519093116553396976e+05 2.461082406042205093e+03
7.266572345582394628e+05 -1.048356362663647044e+06 4.430819202755836886e+05 1.123826437368913030e+05 2.498379423220412864e+05 9.548450633210995875e+04 2.088975338704542024e+06 2.983735395585674866e+01 2.768283752866415881e+01 -1.572708973771525010e+01 4.549045349360191892e+00 2.386058208615724041e+00 7.032194632460059935e+00 1.996911592955724046e+01 1.438798399161086081e+02 1.009946452976711953e+03 5.167902395018241805e+03 1.519093116553396976e+05 5.895841433098989073e+05 7.470425401937367860e+04
4.304040045933275251e+05 -5.771573554299246753e+05 2.578969219992659928e+05 6.892702014646153839e+04 1.348601839224114956e+05 2.681330633694717835e+04 1.200486132973328000e+06 -1.077292750911405932e+02 -1.856597888575795992e+02 -5.777042133134818869e+01 3.650497824408260872e+00 1.428238691949849981e+00 4.912900522224989963e-01 4.825914293901433894e+00 1.031279606668086934e+01 6.462202951157793507e+01 3.571001083701149810e+02 2.461082406042206003e+03 7.470425401937367860e+04 3.874790054994798847e+05
