#  Omegam Omegade Omegab w0 wa h ns sigma8 aIA etaIA betaIA
1.2765166163026357e7	1.6625386565166614e6	-3.3195856257525817e6	-444915.6052898838	-87100.11321526894	1.005372675600258e6	1.8278760051242567e6	7.787567163287788e6	-10607.590687414317	-10509.14386487717	15328.859808920392
1.6625386565166614e6	227281.8931153306	-426528.711288629	-59122.636726933604	-12194.695558486106	128874.41990507203	231740.71256332082	1.0275573544739331e6	-1026.8554332886986	-1002.0320753064385	1540.398450975885
-3.3195856257525817e6	-426528.711288629	1.0793013148070062e6	105999.36818933557	20413.720308663873	-320583.12821942964	-589735.6020134229	-1.9646222894278031e6	3818.4542264613174	4182.480239856579	-4509.235110503575
-444915.6052898838	-59122.636726933604	105999.36818933557	16597.451292895137	3296.0285304931913	-31781.521734554943	-55886.14191858026	-274104.5099379505	372.7806693071283	395.5676971109102	-473.1918288997061
-87100.11321526894	-12194.695558486106	20413.720308663873	3296.0285304931913	698.1180592588379	-6041.848247234647	-10293.498130581365	-54896.86395851087	45.84861184274217	48.088613451424465	-61.41741585399549
1.005372675600258e6	128874.41990507203	-320583.12821942964	-31781.521734554943	-6041.848247234647	97250.64443929841	183553.43064815446	592163.0885435108	-1138.7596978454546	-1221.3373233631573	1405.2138761857616
1.8278760051242567e6	231740.71256332082	-589735.6020134229	-55886.14191858026	-10293.498130581365	183553.43064815446	359962.09173812886	1.0604444320136395e6	-2176.105904828312	-2299.3328622623903	2756.577108297145
7.787567163287788e6	1.0275573544739331e6	-1.9646222894278031e6	-274104.5099379505	-54896.86395851087	592163.0885435108	1.0604444320136395e6	4.819982078192048e6	-5702.277712548073	-5591.22622520761	8421.066185645539
-10607.590687414317	-1026.8554332886986	3818.4542264613174	372.7806693071283	45.84861184274217	-1138.7596978454546	-2176.105904828312	-5702.277712548073	91.54709685277781	122.16751312318043	-51.4516000720603
-10509.14386487717	-1002.0320753064385	4182.480239856579	395.5676971109102	48.088613451424465	-1221.3373233631573	-2299.3328622623903	-5591.22622520761	122.16751312318043	171.38978526488327	-48.7366457323004
15328.859808920392	1540.398450975885	-4509.235110503575	-473.1918288997061	-61.41741585399549	1405.2138761857616	2756.577108297145	8421.066185645539	-51.4516000720603	-48.7366457323004	77.72254337748687
