# Omegam Omegad Omegab w0 wa h ns sigma8
604957.3459518007 -2281.6214508847 -1074356.1952114243 -32742.1479984057 -3705.7645995041 244286.7976933558 244406.0567907881 -43360.1465991140
-2281.6214508625 52673.2206871448 26046.1928681492 -6292.6436473725 -4991.0781407199 -313202.3258702992 4931.4926130724 31674.6892832304
-1074356.1952125605 26046.1928682652 3265326.6195174563 184.5927182285 -2305.0741221566 -683921.1863514935 -440467.1946830743 51882.7089312511
-32742.1479983386 -6292.6436473690 184.5927180810 5730.1632370410 1235.4795507103 35605.8334518398 -12978.9136272832 2895.7745518738
-3705.7645995072 -4991.0781407157 -2305.0741221569 1235.4795507115 561.0289377478 29726.7037816571 -1902.3998540163 -2276.3533373955
244286.7976945672 -313202.3258705316 -683921.1863520502 35605.8334516760 29726.7037816724 2210150.1931286035 73520.5759167213 -197890.2118174299
244406.0567903949 4931.4926130581 -440467.1946818120 -12978.9136272937 -1902.3998540136 73520.5759160939 107736.6998738726 -17925.6151171399
-43360.1465987149 31674.6892832358 51882.7089304240 2895.7745518664 -2276.3533373991 -197890.2118169015 -17925.6151170023 46332.9253930404
